"filename", "language", "JavaScript", "Sass", "SCSS", "Vue", "XML", "comment", "blank", "total"
"f:\BK\year5.1\project 3\front-end\src\App.vue", "Vue", 0, 0, 0, 41, 0, 0, 9, 50
"f:\BK\year5.1\project 3\front-end\src\apis\application.js", "JavaScript", 177, 0, 0, 0, 0, 0, 20, 197
"f:\BK\year5.1\project 3\front-end\src\apis\auth.js", "JavaScript", 107, 0, 0, 0, 0, 3, 7, 117
"f:\BK\year5.1\project 3\front-end\src\apis\company.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 18
"f:\BK\year5.1\project 3\front-end\src\apis\job.js", "JavaScript", 79, 0, 0, 0, 0, 0, 13, 92
"f:\BK\year5.1\project 3\front-end\src\apis\role.js", "JavaScript", 29, 0, 0, 0, 0, 0, 5, 34
"f:\BK\year5.1\project 3\front-end\src\apis\search.js", "JavaScript", 29, 0, 0, 0, 0, 1, 5, 35
"f:\BK\year5.1\project 3\front-end\src\apis\test.js", "JavaScript", 22, 0, 0, 0, 0, 1, 1, 24
"f:\BK\year5.1\project 3\front-end\src\apis\user.js", "JavaScript", 53, 0, 0, 0, 0, 0, 5, 58
"f:\BK\year5.1\project 3\front-end\src\assets\dictionary\application.js", "JavaScript", 40, 0, 0, 0, 0, 0, 2, 42
"f:\BK\year5.1\project 3\front-end\src\assets\dictionary\job.js", "JavaScript", 448, 0, 0, 0, 0, 0, 20, 468
"f:\BK\year5.1\project 3\front-end\src\assets\dictionary\location.js", "JavaScript", 58369, 0, 0, 0, 0, 0, 2, 58371
"f:\BK\year5.1\project 3\front-end\src\assets\dictionary\role.js", "JavaScript", 15, 0, 0, 0, 0, 0, 2, 17
"f:\BK\year5.1\project 3\front-end\src\assets\vue.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"f:\BK\year5.1\project 3\front-end\src\axios.js", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 7
"f:\BK\year5.1\project 3\front-end\src\cloudinary\index.js", "JavaScript", 19, 0, 0, 0, 0, 0, 4, 23
